"drug","CVCL_1057","CVCL_0131","CVCL_1058","CVCL_1059","CVCL_1060","CVCL_0134","CVCL_0132","CVCL_1056","CVCL_0023","CVCL_0080","CVCL_1065","CVCL_1067","CVCL_0139","CVCL_1074","CVCL_0153","CVCL_1093","CVCL_1082","CVCL_1086","CVCL_1092","CVCL_1096","CVCL_1097","CVCL_1098","CVCL_1101","CVCL_0234","CVCL_1105","CVCL_0608","CVCL_0236","CVCL_0216","CVCL_0218","CVCL_1146","CVCL_1167","CVCL_0008","CVCL_1168","CVCL_1169","CVCL_1170","CVCL_1171","CVCL_0105","CVCL_1186","CVCL_1188","CVCL_1189","CVCL_1194","CVCL_1195","CVCL_1218","CVCL_1226","CVCL_1228","CVCL_1229","CVCL_2450","CVCL_6C19","CVCL_1245","CVCL_1247","CVCL_1249","CVCL_1251","CVCL_1255","CVCL_1256","CVCL_1258","CVCL_0290","CVCL_1259","CVCL_1261","CVCL_1263","CVCL_1267","CVCL_1270","CVCL_0291","CVCL_0292","CVCL_0001","CVCL_1281","CVCL_1283","CVCL_1285","CVCL_1286","CVCL_0312","CVCL_1290","CVCL_1294","CVCL_0324","CVCL_2526","CVCL_0359","CVCL_1321","CVCL_0004","CVCL_0371","CVCL_1329","CVCL_1331","CVCL_0379","CVCL_1345","CVCL_1380","CVCL_0399","CVCL_1381","CVCL_0400","CVCL_1438","CVCL_1399","CVCL_0031","CVCL_0062","CVCL_0417","CVCL_0445","CVCL_1414","CVCL_1415","CVCL_0434","CVCL_1417","CVCL_0013","CVCL_GZ01","CVCL_0005","CVCL_1544","CVCL_1547","CVCL_0459","CVCL_1567","CVCL_1622","CVCL_0471","CVCL_0465","CVCL_1627","CVCL_1629","CVCL_0035","CVCL_1644","CVCL_0511","CVCL_1647","CVCL_1649","CVCL_1650","CVCL_0504","CVCL_1660","CVCL_0014","CVCL_0036","CVCL_1688","CVCL_1689","CVCL_1690","CVCL_1691","CVCL_1695","CVCL_0041","CVCL_0069","CVCL_0526","CVCL_0527","CVCL_0532","CVCL_0535","CVCL_1706","CVCL_1711","CVCL_1712","CVCL_1715","CVCL_0544","CVCL_1717","CVCL_1718","CVCL_1720","CVCL_1721","CVCL_1722","CVCL_1723","CVCL_0545","CVCL_1724","CVCL_0547","CVCL_1728","CVCL_1729","CVCL_1731","CVCL_0632","CVCL_0553","CVCL_0555","CVCL_0556","CVCL_1738","CVCL_1768","CVCL_1774","CVCL_1911","CVCL_0021","CVCL_1779","CVCL_1780","CVCL_1794","CVCL_8481","CVCL_6876","CVCL_4613","CVCL_2419","CVCL_2420","CVCL_2010","CVCL_2424","CVCL_2425","CVCL_A762","CVCL_6774","CVCL_2027","CVCL_2030","CVCL_2034","CVCL_1658","CVCL_S740","CVCL_V616","CVCL_2908","CVCL_8876","CVCL_8877","CVCL_1252","CVCL_1254","CVCL_2062","CVCL_1265","CVCL_5134","CVCL_1269","CVCL_2063","CVCL_2947","CVCL_3317","CVCL_IZ34","CVCL_3517","CVCL_3532","CVCL_8784","CVCL_2092","CVCL_2094","CVCL_8147","CVCL_4849","CVCL_3956","CVCL_0394","CVCL_0401","CVCL_3020","CVCL_2588","CVCL_1872","CVCL_2791","CVCL_8792","CVCL_0067","CVCL_3043","CVCL_2661","CVCL_IW56","CVCL_2673","CVCL_2675","CVCL_3116","CVCL_3770","CVCL_3110","CVCL_3111","CVCL_3114","CVCL_3117","CVCL_0480","CVCL_4666","CVCL_1913","CVCL_3326","CVCL_3567","CVCL_3156","CVCL_WS60","CVCL_3599","CVCL_0095","CVCL_6950","CVCL_K085","CVCL_3881","CVCL_0546","CVCL_3603","CVCL_E063","CVCL_3611","CVCL_3174","CVCL_5952","CVCL_5953","CVCL_5957","CVCL_S471","CVCL_2739","CVCL_2741","CVCL_B076","CVCL_2235","CVCL_A341"
"selumetinib",NA,0.065675,0.0502,0.244875,0.17025,0.3325,0.440875,NA,0.2815,0.17025,NA,0.163875,NA,0,0.208375,NA,NA,NA,0.04978625,0.214875,0.2454875,0.1836625,NA,NA,0.224125,0.24475,0.172775,NA,0.61625,NA,0.054325,NA,NA,0.33875,0.094625,0.135875,0.1145125,0,NA,NA,NA,NA,0.29975,0.0233875,0.029125,0.0835,NA,0,NA,0.0919625,0.034175,NA,0.0213125,NA,0.234525,NA,0.117675,NA,NA,NA,0.147575,0.2186375,0.07232585,NA,0.086625,NA,NA,NA,0,0.093625,NA,0.1959,NA,0.1081,0.58125,NA,NA,0,NA,0.44125,0.191375,NA,NA,0.28175,0,0.62875,0,0.1935,NA,0.339775,0,0.0155625,NA,0.20565,0,NA,NA,NA,0.0627375,0.129375,0.152375,0.0273625,NA,0.097725,0.1632,0.0082875,0.06825,0.0203875,0.334,0,NA,0.297875,0,0.248375,NA,NA,0.181242857,0.059375,NA,0.0802375,NA,0.1776875,0.0356,0.1762625,NA,0.4408375,0.034225,NA,NA,NA,NA,0,NA,0.302375,NA,0.1765,NA,NA,0.2008625,0.471625,0.5825,0.49875,0.2566375,NA,0.021775,NA,0.04655,0.0540875,0.0037875,0,NA,NA,NA,NA,0.3915,0.4783,NA,NA,NA,0.280425,0,NA,NA,0.1156125,NA,NA,0.010225,0,NA,0.04765,NA,NA,NA,0.1569625,NA,NA,NA,NA,NA,0.162125,NA,0.0571,0,0.120875,0.0858125,NA,0.271,0.0289625,0.34125,0.029,NA,0.179625,NA,NA,NA,NA,0.145275,NA,0.0721625,0,NA,NA,0.2834125,0.205875,NA,NA,NA,NA,NA,NA,0.0367,0.1110875,0.0390375,NA,NA,NA,0.0497125,0.2364,0.3305,NA,0.240875,NA,NA,0.107025,0.0760625,0.2663625,0.0216875,0,0.0177,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3263875
"erlotinib",NA,0.0001875,0.06435,0.0145625,0.13205,0,0.0546,NA,0.0956375,0,NA,0.1836125,NA,0.0221875,0,NA,NA,NA,0,0.162125,0.00645,0.017625,NA,NA,0.2817875,0,0,NA,0.021125,NA,0.0563625,NA,NA,0.0083875,0,0.10375,0.138025,0.0512375,NA,NA,NA,NA,0.19605125,0.0125825,0.17235,0.0295625,NA,0.0328,NA,0.0694,0,NA,0.0091,NA,0.232875,NA,0.1165325,NA,NA,NA,0.0575125,0.032475,0.023,NA,0.0381,NA,NA,NA,0,0,NA,0.0773875,NA,0.0359,0.0158625,NA,NA,0.0705,NA,0.03281875,0.045025,NA,NA,0.0089125,0,0.014175,0,0,NA,0.0022,0,0,NA,0.001475,0,NA,NA,NA,0,0,0,0.0012625,NA,0.087275,0.0957375,0.095025,0.047285714,0.0534625,0.039975,0,NA,0,0,0,NA,NA,0.1569125,0,NA,0.0564625,NA,0,0,0,NA,0.065775,0.083125,NA,NA,NA,NA,0.060425,NA,0,NA,0.065,NA,NA,0.045425,0.0988125,0.33575,0,0.1326125,NA,0.0385,NA,0.0681625,0,0.02035,0,NA,NA,NA,NA,0,0.1122,NA,NA,NA,0,0,NA,NA,0.079575,NA,NA,0,0,NA,0.0123125,NA,NA,NA,0.0325625,NA,NA,NA,NA,NA,0.3523875,NA,0.4955125,0.5471,0.0226,0.136925,NA,0.014625,0.036375,0,0,NA,0.133275,NA,NA,NA,NA,0.0241625,NA,0.0463375,0.02508125,NA,NA,0.1277875,0.3502875,NA,NA,NA,NA,NA,NA,0,0,0.1052375,NA,NA,NA,0.142375,0.0398375,0.021250875,NA,0.285225,NA,NA,0.0028,0.0576,0,0.047175,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003025
"irinotecan",NA,0.3547375,0.452875,0.464375,NA,0.55975,0.508625,NA,0.40025,NA,NA,NA,NA,NA,0.459875,NA,NA,NA,0.43875,NA,0.2602875,NA,NA,NA,NA,0.254575,NA,NA,NA,NA,0.5081125,NA,NA,0.460875,0.7071125,NA,0.4325,NA,NA,NA,NA,NA,NA,NA,NA,0.5751125,NA,NA,NA,NA,NA,NA,0.358375,NA,NA,NA,NA,NA,NA,NA,0.4045,0.3897125,0.3482125,NA,0.379075,NA,NA,NA,0.4438625,NA,NA,0.286375,NA,NA,0.51725,NA,NA,0.1284,NA,0.358375,0.2654125,NA,NA,NA,NA,0.296625,NA,0.456625,NA,0.3522,0,NA,NA,0.52535,0.379375,NA,NA,NA,NA,NA,NA,0.3515,NA,0.532,0.38645,0.2438,0.545,0.381125,NA,NA,NA,NA,NA,0.4047775,NA,NA,0.3707,0.5048125,NA,0.454125,NA,0.594375,NA,0.231375,NA,0.505125,0.368425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4524875,0.508625,0.45175,0.38125,NA,NA,NA,NA,0.10855,0.16455,0.301525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2674625,NA,NA,NA,NA,NA,0.4682875,NA,NA,0.1476125,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2262,NA,0.3294375,NA,0.4463625,0.43175,NA,0.250275,NA,0.3927125,NA,NA,0.566,NA,NA,NA,NA,0.3885875,NA,0.61125,0.183725,NA,NA,0.5020125,0.379425,NA,NA,NA,NA,NA,NA,0.294875,0.262,0.3570125,NA,NA,NA,NA,0.4178375,0.41509,NA,0.41235,NA,NA,0.18995,NA,0.387,0.4353125,0.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.286225
"lapatinib",NA,0.014325,0.0500375,0.0280625,0.0808125,0.091425,0.044775,NA,0.192825,0,NA,0.09955,NA,0.48625,0.02338875,NA,NA,NA,0.1323875,0.1533875,0,0.0671375,NA,NA,0.193525,0.0372875,0.0716,NA,0,NA,0.07325,NA,NA,0.03335,0.0872875,0.0457375,0.135975,0.0540875,NA,NA,NA,NA,0.2708,0,0.0665375,0.0757875,NA,0.000925,NA,0,0,NA,0.0626625,NA,0.171557143,NA,0.280225,NA,NA,NA,0.0595375,0.0115875,0.086975,NA,0.0075625,NA,NA,NA,0,0,NA,0.0962375,NA,0.017275,0,NA,NA,0,NA,0.0234625,0.026125,NA,NA,0.00892575,0,0.0307,0,0.1268625,NA,0.0055375,0,0,NA,0.0142625,0.088625,NA,NA,NA,0,0,0,0.043075,NA,0.178275,0.1236875,0.0612625,0.1523125,0,0.003575,0,NA,0.01625,0.047675,0.0003175,NA,NA,0.1655375,0.0410375,NA,0.0599625,NA,0,0.043,0.0441125,NA,0,0.05475,NA,NA,NA,NA,0.196375,NA,0.06775,NA,0.0538875,NA,NA,0.12555,0.208725,0.36775,0,0.0924875,NA,0.0120125,NA,0.0493375,0,0.0244,0.0163625,NA,NA,NA,NA,0.0127875,0.0566,NA,NA,NA,0,0,NA,NA,0,NA,NA,0.04207625,0,NA,0.0206125,NA,NA,NA,0,NA,NA,NA,NA,NA,0.280825,NA,0.214097,0.0871,0.0162375,0.15565,NA,0.0264625,0,0.052175,0,NA,0.228075,NA,NA,NA,NA,0.0946125,NA,0.1315125,0.033075,NA,NA,0.15375,0.2065125,NA,NA,NA,NA,NA,NA,0.056,0.021725,0.1222625,NA,NA,NA,0,0.0190125,0,NA,0.2378375,NA,NA,0,0.030675,0.001175,0.0351,0.022375,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016275
"nilotinib",NA,0,0.2399875,0,0.0168875,0.0423625,0.10083125,NA,0.1044125,NA,NA,NA,NA,0.1109375,0.0574125,NA,NA,NA,0.0368875,0.0180875,0.0386875,NA,NA,NA,NA,0.015,NA,NA,0.0441375,NA,0.0418875,NA,NA,0.0159625,0.1246625,0.0465125,0,0,NA,NA,NA,NA,0.0614125,NA,0.0346375,0.0598375,NA,0.0321375,NA,0,NA,NA,0.018875,NA,0.095475,NA,0.010225,NA,NA,NA,0,0,0.0737125,NA,0,NA,NA,NA,0.035425,0,NA,0.03675,NA,NA,0,NA,NA,0,NA,0.638175,0,NA,NA,NA,0.047525,0.114325,0,0,NA,0.0891,0,0.0479375,NA,0.0568,0.02105,NA,NA,NA,0,0.010525,NA,0,NA,0,0,0,0.0073375,0.0217,NA,0.0196375,NA,NA,0.0706125,0.065875,NA,NA,0,0.0751,NA,0.0558375,NA,0,0.0351375,0.0214125,NA,0.0131,0,NA,NA,NA,NA,0.05135,NA,NA,NA,NA,NA,NA,0.09125,0,0.0131375,0,0.017425,NA,0,NA,0.0208625,0,0.0774625,0.05805,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0679125,NA,NA,0,NA,NA,0.08513125,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.08785,NA,0,0.0945375,NA,0.1015,0.0895125,0.1202625,NA,NA,0.0382625,NA,NA,NA,NA,0.001425,NA,0,0.0687375,NA,NA,0.743375,0.0700625,NA,NA,NA,NA,NA,NA,0.009181,0,0,NA,NA,NA,0,0,0.077325,NA,0.012875,NA,NA,0.0006875,NA,0,0.1410875,0.053,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1103125
"paclitaxel",NA,0.575,0.6575,0.8975,0.68625,0.80625,0.75625,NA,0.86375,0.8825,NA,0.49875,NA,0.88,0.815,NA,NA,NA,0.72375,0.42625,0.44125,0.335,NA,NA,0.71375,0.565,0.81375,NA,0.93875,NA,0.73875,NA,NA,0.66,0.9125,0.73375,0.76125,0.67875,NA,NA,NA,NA,0.595,0.66125,0.58,0.8175,NA,0.64375,NA,0.75,0.77,NA,0.3675,NA,0.8575,NA,0.723125,NA,NA,NA,0.7,0.8125,0.4004,NA,0.53,NA,NA,NA,0.775,0.81125,NA,0.53375,NA,0.47375,0.7175,NA,NA,0.3175,NA,0.89625,0.471375,NA,NA,0.61875,0.75,0.48625,0.79625,0.90875,NA,0.8775,0.47875,0.86625,NA,0.75375,0.445,NA,NA,NA,0.38875,0.80375,0.647,0.67375,NA,0.6275,0.655,0.5948125,0.77875,0.58375,0.71625,0.75375,NA,0.75625,0.85125,0.825,NA,NA,0.77375,0.5875,NA,0.6275,NA,0.69125,0.685,0.4475,NA,0.715,0.68,NA,NA,NA,NA,0.68,NA,0.6325,NA,0.51,NA,NA,0.59125,0.73,0.825,0.77375,0.77,NA,0.63,NA,0.4375,0.533,0.73875,0.75375,NA,NA,NA,NA,0.455,0.66375,NA,NA,NA,0.8325,0.3225,NA,NA,0.60125,NA,NA,0.72125,0.69125,NA,0.51125,NA,NA,NA,0.565,NA,NA,NA,NA,NA,0.29375,NA,0.74375,0.56875,0.55875,0.80625,NA,0.70125,0.79875,0.665,0.592875,NA,0.8325,NA,NA,NA,NA,0.8175,NA,0.91,0.48425,NA,NA,0.84625,0.82125,NA,NA,NA,NA,NA,NA,0.27625,0.345,0.295375,NA,NA,NA,0.89875,0.68,0.65875,NA,0.845,NA,NA,0.5175,0.51875,0.55125,0.695,0.4575,0.392625,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5725
"pd0325901",NA,0.11615,0.0653375,0.360375,0.1707125,0.48875,0.637,NA,0.509875,0.1324625,NA,0.226625,NA,0,0.357875,NA,NA,NA,0,0.35375,0.47825,0.3440625,NA,NA,0.3415,0.3257875,0.457125,NA,0.765,NA,0.02419875,NA,NA,0.387,0.131475,0.18475,0.205025,0,NA,NA,NA,NA,0.33525,0.03639375,0.2215,0.2773625,NA,0,NA,0.1189875,0.1082375,NA,0.0124625,NA,0.295142857,NA,0.22085,NA,NA,NA,0.160375,0.47875,0.213525,NA,0.123275,NA,NA,NA,0.0987,0.04625,NA,0.300125,NA,0.145625,0.64375,NA,NA,0.065075,NA,0.615,0.2602375,NA,NA,0.381875,0.02325,0.83375,0.027675,0.255,NA,0.546125,0.0872375,0,NA,0.39555,0.059425,NA,NA,NA,0.32,0.272175,0.1725,0.080225,NA,0.2466875,0.181,0.161625,0.1231,0,0.4024375,0.0685125,NA,0.358875,0,0.43525,NA,NA,0.27805,0.16435,NA,0.1217875,NA,0.33875,0,0.354025,NA,0.578375,0.08455,NA,NA,NA,NA,0,NA,0.5075,NA,0.2315,NA,NA,0.366375,0.63,0.6875,0.6275,0.4045,NA,0.0581625,NA,0,0.2094375,0,0.038775,NA,NA,NA,NA,0.5725,0.66375,NA,NA,NA,0.45,0,NA,NA,0.2805,NA,NA,0,0.0480375,NA,0.087,NA,NA,NA,0.2770625,NA,NA,NA,NA,NA,0.1572875,NA,0.1971625,0.03425,0.118125,0.1962125,NA,0.44275,0.01932875,0.485,0.145625,NA,0.21005,NA,NA,NA,NA,0.2847875,NA,0.149875,0.1785,NA,NA,0.470125,0.340275,NA,NA,NA,NA,NA,NA,0.006875,0.1915,0.10325,NA,NA,NA,0.095,0.355,0.433625,NA,0.33,NA,NA,0.2662875,0.1207625,0.427775,0.2095,0.0233875,0.0876625,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.50475
"palbociclib",NA,0,0.143857143,0,0,0.07505,0.0250375,NA,0.037375,0.0462,NA,NA,NA,0.0699875,0,NA,NA,NA,0,0.0721375,0.012875,0.036975,NA,NA,NA,0,NA,NA,0.1100875,NA,0.0351625,NA,NA,0.0340875,0.1477625,0.1302625,0,0,NA,NA,NA,NA,0.0018125,NA,0.047575,0.1037375,NA,0.113375,NA,0.0718,NA,NA,0,NA,0,NA,0.1556875,NA,NA,NA,0,0,0.0008625,NA,0.02055,NA,NA,NA,0.0559625,0,NA,0.0114375,NA,0.012825,0.1685,NA,NA,0.01515,NA,0.093425,0,NA,NA,0,0,0.0692,0.13205,0.191975,NA,0.1637,0.1397625,0.1441375,NA,0.1024375,0,NA,NA,NA,0.051125,0,NA,0,NA,0.1096875,0,0.0456375,0,0,NA,0.0099,NA,0,0.08765,0.091075,NA,NA,0.1669625,0.0627125,NA,0.1058375,NA,0.063625,0,0,NA,0.15625,0.02685,NA,NA,NA,NA,0.035425,NA,0,NA,NA,NA,NA,0,0.139625,0.182428571,0.1455,0.155675,NA,0.0399125,NA,0.051425,0,0.046675,0.0514625,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0729,0.0300375,NA,NA,0,NA,NA,0.000875,0.02039625,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084575,NA,0.0616,NA,0,0.059175,NA,0.0804125,0,0.0789875,NA,NA,0.016025,NA,NA,NA,NA,0,NA,0.151875,0.01275,NA,NA,0.038125,0.1000875,NA,NA,NA,NA,NA,NA,0,0.0089875,0.012675,NA,NA,NA,0.0198875,0,0.105725,NA,0.0768875,NA,NA,0,0.0004875,0.0117,0.0712,0.02075,0.0024,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145275
"crizotinib",NA,0.084325,0.1189625,0.08865,0.01435,0.1616,0.1067,NA,0.1352,0.1855375,NA,0.0653375,NA,0.0787375,0.0591875,NA,NA,NA,0.047075,0.0167,0.0368,0.0687125,NA,NA,0.1186925,0,0.1032125,NA,0.1632125,NA,0.0591625,NA,NA,0.0641525,0.438525,0,0.0891375,0,NA,NA,NA,NA,0.0156,0.012425,0.044575,0.1401,NA,0.177025,NA,0,0,NA,0,NA,0.1182,NA,0.0500625,NA,NA,NA,0.0382875,0.0639125,0,NA,0.066025,NA,NA,NA,0.0672875,0.12535,NA,0.0702125,NA,0.036525,0.1779875,NA,NA,0,NA,0.23625,0.0051875,NA,NA,0.0809625,0,0.05275,0,0.1552875,NA,0.0960375,0,0.054375,NA,0.5083875,0,NA,NA,NA,0,0.1137,0.0261875,0.04407,NA,0.3352625,0,0,0.110375,0.047675,0,0,NA,0.0795625,0.106325,0.13515,NA,NA,0.0031375,0.0463,NA,0.1864125,NA,0,0.1181,0,NA,0.02385,0,NA,NA,NA,NA,0,NA,0.0225875,NA,0.087975,NA,NA,0.145875,0.0079,0,0.14695,0.05165,NA,0.0459375,NA,0.027525,0,0.070825,0.0241875,NA,NA,NA,NA,0,0.072625,NA,NA,NA,0,0.06075,NA,NA,0.0157375,NA,NA,0.0552625,0,NA,0.04195,NA,NA,NA,0.0059625,NA,NA,NA,NA,NA,0.048325,NA,0.0847,0,0.015775,0.0550375,NA,0.2287375,0,0.0426625,0.0551875,NA,0.03755,NA,NA,NA,NA,0.0716,NA,0.175275,0,NA,NA,0.3393375,0.1412,NA,NA,NA,NA,NA,NA,0.05945,0,0.0036,NA,NA,NA,0.0451375,0.0352625,0.0367125,NA,0.1138125,NA,NA,0,0.0443,0.0518875,0.0109875,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"plx-4720",NA,0.035475,0.04605,0.1031,0.0287,0.0527,0.391875,NA,0.009525,0.0936375,NA,0.0704125,NA,0.0588625,0.16615,NA,NA,NA,0.11575,0.026985714,0.1991625,0,NA,NA,0.1119,0,0.1093625,NA,0.397625,NA,0.0455475,NA,NA,0.2436375,0.082325,0.0373375,0,0.0669125,NA,NA,NA,NA,0.0146375,0,0,0.1716625,NA,0.05975,NA,0,0,NA,0.0172125,NA,0,NA,0,NA,NA,NA,0.02305,0,0.0357875,NA,0.0290375,NA,NA,NA,0,0,NA,0.0286,NA,0,0,NA,NA,0,NA,0,0,NA,NA,0.132175,0,0.43925,0,0.2862625,NA,0.2377875,0.0210125,0,NA,0,0,NA,NA,NA,0,0.070125,0,0,NA,0.0695875,0.056625,0,0,0.091,0.014975,0,NA,0,0.1109875,0.16599875,NA,NA,0.0098625,0.04945,NA,0.0497875,NA,0,0.0161575,0.002257143,NA,0.3155,0.0375,NA,NA,NA,NA,0.1478375,NA,0.251,NA,0.056125,NA,NA,0.0832125,0,0,0,0,NA,0,NA,0,0,0.0853875,0.00385125,NA,NA,NA,NA,0.27625,0.4279125,NA,NA,NA,0.043875,0.00415,NA,NA,0.0024525,NA,NA,0.0501625,0,NA,0,NA,NA,NA,0.06995,NA,NA,NA,NA,NA,0.0423375,NA,0.0160625,0.0368475,0.0785,0.125025,NA,0.0596125,0,0.264875,0,NA,0.0488,NA,NA,NA,NA,0,NA,0.0821875,0,NA,NA,0.2435,0.065175,NA,NA,NA,NA,NA,NA,0.106245,0,NA,NA,NA,NA,0.08130125,0.016925,0.006875,NA,0.065675,NA,NA,0.0240625,0.027375,0,0.06364,0.042025,0.046275,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2529375
