drug,cell_line,auc_ccle,auc_gdsc,ABC,cluster,SEEDING_DENSITY,density_ccle,density_diff
paclitaxel,cvcl_0218,0.8414516749344219,0.11658508604000062,0.7248864428362566,1,700.0,250,450.0
paclitaxel,cvcl_1818,0.7471007913042289,0.05701558919562011,0.690144056031336,1,2000.0,250,1750.0
paclitaxel,cvcl_0077,0.6831853640898369,0.05752187717735946,0.6257781207797958,1,300.0,250,50.0
paclitaxel,cvcl_1823,0.6881149970843328,0.09278825974083238,0.5953310294471771,1,2500.0,250,2250.0
plx4720,cvcl_1694,0.7593436708046213,0.1493041154374215,0.5842977979619552,1,,250,
paclitaxel,cvcl_2091,0.6414169397983425,0.07154305003207084,0.5700709215570414,1,625.0,250,375.0
paclitaxel,cvcl_0031,0.8575675519821685,0.28585737539848377,0.5693621216787539,1,475.0,250,225.0
paclitaxel,cvcl_2112,0.6179639668020489,0.05865835657805263,0.5589478024647259,1,1250.0,250,1000.0
paclitaxel,cvcl_2067,0.7675990850340784,0.20625524735168366,0.5512366458806995,1,300.0,250,50.0
paclitaxel,cvcl_1787,0.6820873989819488,0.04067048100892978,0.5455332874795261,1,1000.0,250,750.0
topotecan,cvcl_1357,0.6494382454290684,0.08681632087822222,0.5379891326734778,1,1250.0,250,1000.0
paclitaxel,cvcl_1511,0.5849300175044554,0.053717247738654716,0.5320096475214593,1,250.0,250,0.0
irinotecan,cvcl_1625,0.6264246272343816,0.07986883307159898,0.5097821722518822,1,1250.0,250,1000.0
irinotecan,cvcl_1229,0.6663974485578383,0.12473797763183192,0.5093542472956885,1,625.0,250,375.0
paclitaxel,cvcl_1670,0.5861511167948252,0.08116462860119689,0.4988058109977321,1,625.0,250,375.0
irinotecan,cvcl_1453,0.6737096459247048,0.16937970621299359,0.4925695961270841,1,2500.0,250,2250.0
irinotecan,cvcl_1805,0.7714257919271148,0.23612331272991738,0.4879776071651082,1,1250.0,250,1000.0
irinotecan,cvcl_0126,0.6047591653997956,0.1340173508107928,0.4804401199065708,1,625.0,250,375.0
irinotecan,cvcl_1632,0.5966720797685561,0.06920463910509156,0.47457689238658574,1,1250.0,250,1000.0
irinotecan,cvcl_1620,0.5830356078260344,0.08071145906426769,0.47312941179902324,1,5000.0,250,4750.0
irinotecan,cvcl_0554,0.5634829078337293,0.07268579744918535,0.46895962026329796,1,625.0,250,375.0
paclitaxel,cvcl_0317,0.5126510279596441,0.05222146182220577,0.4652266033767436,1,625.0,250,375.0
irinotecan,cvcl_0418,0.5685718885430531,0.04356307682931537,0.4640292405328239,1,400.0,250,150.0
irinotecan,cvcl_2207,0.7412557399186945,0.2686518050663874,0.46018431940161075,1,2500.0,250,2250.0
paclitaxel,cvcl_1490,6.893342875624597e-05,0.48218996496404254,0.4598880741469377,1,625.0,250,375.0
irinotecan,cvcl_0134,0.615833616378562,0.15254678257690657,0.45979523081002827,1,250.0,250,0.0
paclitaxel,cvcl_1357,0.5787843984132595,0.119083190793832,0.45963644353997624,1,1250.0,250,1000.0
paclitaxel,cvcl_1087,0.7118804885407669,0.25378902883786225,0.45812628429529806,1,625.0,250,375.0
irinotecan,cvcl_1667,0.7971840968714046,0.3605898875904874,0.4508381524849029,1,500.0,250,250.0
irinotecan,cvcl_1045,0.5380737281669329,0.12577958144194212,0.45004902576024125,1,625.0,250,375.0
irinotecan,cvcl_2091,0.531869161963153,0.07457790115017082,0.4487120168715092,1,625.0,250,375.0
irinotecan,cvcl_1170,0.81767955493759,0.3220448836596639,0.44610515910228826,1,200.0,250,50.0
irinotecan,cvcl_8787,0.5887205142968954,0.14327585056939673,0.4448588150408847,1,150.0,250,100.0
irinotecan,cvcl_1639,0.4943017228646178,0.053240180956890204,0.44114394805820073,1,400.0,250,150.0
irinotecan,cvcl_1227,0.602529390680049,0.13059543175678312,0.44052610234962536,1,625.0,250,375.0
irinotecan,cvcl_1767,0.45457463130793174,0.050719697943265474,0.43829042205135116,1,400.0,250,150.0
irinotecan,cvcl_0270,0.6006610507391166,0.1359606558085935,0.4380617998524638,1,300.0,250,50.0
irinotecan,cvcl_1489,0.6626237169786235,0.2031999179656957,0.4363301866004234,1,2500.0,250,2250.0
irinotecan,cvcl_1485,0.5003511067104112,0.05868429421967447,0.43438473370822694,1,625.0,250,375.0
irinotecan,cvcl_1196,0.6753759907358634,0.20060706653177596,0.4342239344057184,1,1500.0,250,1250.0
