drug,cell_line,auc_pset1,auc_pset2,ABC,cluster,SEEDING_DENSITY_gdsc1,SEEDING_DENSITY_gdsc2,density_diff
gemcitabine,cvcl_1881,0.04306999281274637,0.9560549171503817,0.9130071997179202,1,15000.0,400.0,14600.0
refametinib,cvcl_1881,0.04071880583734655,0.9341838692826995,0.8934717265988947,1,15000.0,400.0,14600.0
sepantroniumbromide,cvcl_1292,0.09608337976801751,0.9853812158788992,0.8896923353634899,1,,1000.0,
sepantroniumbromide,cvcl_1404,0.061547059562879314,0.9354331372156491,0.8644934039420602,1,,625.0,
sepantroniumbromide,cvcl_1093,0.07078801498387932,0.9144728375073776,0.8335607561592999,1,,325.0,
sepantroniumbromide,cvcl_1271,0.07915741861644077,0.9631161399162738,0.8272992910427094,1,,450.0,
gemcitabine,cvcl_0539,0.04020415877502648,0.8919580595784186,0.8255620936669977,1,15000.0,500.0,14500.0
gemcitabine,cvcl_0539,0.04020415877502648,0.8919580595784186,0.8255620936669977,1,,500.0,
osi027,cvcl_1694,0.984876573616325,0.16827951556658816,0.8159136186716255,1,,625.0,
sepantroniumbromide,cvcl_1546,0.10920876930126333,0.935614167304733,0.809800330687817,1,,300.0,
obatoclaxmesylate,cvcl_3082,0.9397376675174096,0.11231213649062333,0.8085995320497612,1,,625.0,
sepantroniumbromide,cvcl_a570,0.053817725937737704,0.9285625783104161,0.7974539551116294,1,,625.0,
sepantroniumbromide,cvcl_0032,0.10657475916902193,0.8986543966370649,0.7801357256561675,1,,625.0,
sepantroniumbromide,cvcl_1155,0.03515935970927042,0.8336551597518483,0.7759419139731157,1,,300.0,
sepantroniumbromide,cvcl_0844,0.057131744105097915,0.9427818140024602,0.7626731256964709,1,,150.0,
osi027,cvcl_1878,0.9008961746426045,0.14688872579962942,0.7576800673040582,1,,1250.0,
sepantroniumbromide,cvcl_1691,0.07909535281859059,0.9415714719177357,0.7539416900019316,1,,150.0,
osi027,cvcl_1889,0.8652588189230084,0.11041123684678633,0.7506035910817132,1,,450.0,
sepantroniumbromide,cvcl_0426,0.07445652748797127,0.9203004701927603,0.7434689366369538,1,,200.0,
bleomycin,cvcl_1051,0.9023348087355024,0.15515003165368102,0.7351522118032789,1,,150.0,
osi027,cvcl_1676,0.836403319217579,0.09807044010194188,0.7238257871122022,1,,1250.0,
obatoclaxmesylate,cvcl_0326,0.9637123605068604,0.2087690948217944,0.7178080398998857,1,,200.0,
sepantroniumbromide,cvcl_1764,0.07529221118187035,0.892415590132185,0.7130465601547958,1,,325.0,
osi027,cvcl_1087,0.8817515086918812,0.10518446622681543,0.7126811715003529,1,,625.0,
sepantroniumbromide,cvcl_0078,0.16177427055075344,0.9084612707444362,0.7035692047336836,1,,625.0,
sepantroniumbromide,cvcl_1767,0.04823420687776303,0.7788216359176618,0.7026045838564765,1,,400.0,
sepantroniumbromide,cvcl_1704,0.13589608479174276,0.8438409766052721,0.7011834942427011,1,,500.0,
osi027,cvcl_3035,0.8227445629876508,0.12485002696041292,0.6987124943718686,1,,2500.0,
talazoparib,cvcl_1430,0.7728776713192911,0.061478884236607745,0.6971690358092077,1,800.0,900.0,100.0
osi027,cvcl_1314,0.8208381023273008,0.1443134047014737,0.6763931811480346,1,,5000.0,
osi027,cvcl_1645,0.8107836568547808,0.13552610633513928,0.6748625404354928,1,,200.0,
azd5582,cvcl_1660,0.20059615215114446,0.8457516295181153,0.6667766335269596,1,3000.0,300.0,2700.0
osi027,cvcl_2124,0.8687600623812979,0.16226131804017307,0.6657783278335494,1,,3000.0,
bosutinib,cvcl_2086,0.2319594761242687,0.8898737922801355,0.6652541173312833,1,6000.0,625.0,5375.0
bms754807,cvcl_d284,0.7302943977490751,0.07481528883615918,0.6619023743092356,1,,400.0,
jq1,cvcl_1694,0.7247473163886287,0.08505611632889709,0.6533440072105265,1,,625.0,
gemcitabine,cvcl_1851,0.10964648155692769,0.7738809723066236,0.6526430992733475,1,25000.0,1250.0,23750.0
talazoparib,cvcl_2207,0.03088342568766478,0.7035991087056506,0.6495854273597625,1,35000.0,2500.0,32500.0
daporinad,cvcl_1182,0.1680590217107073,0.8053469677420402,0.6485797361733183,1,2500.0,150.0,2350.0
plx4720,cvcl_1881,0.19948895003488465,0.8381412460479074,0.6468010719977342,1,15000.0,400.0,14600.0
osi027,cvcl_1411,0.777883322747602,0.06807677655124589,0.645451983408267,1,,650.0,
osi027,cvcl_1332,0.6704333160144051,0.010959978977305829,0.6451055483210852,1,,625.0,
bleomycin,cvcl_1285,0.872849405601428,0.22568835451806435,0.6442666638817319,1,,300.0,
bleomycin50um,cvcl_1641,0.20844994118609284,0.8421402025254099,0.6439202558440998,1,25000.0,1250.0,23750.0
bleomycin50um,cvcl_1229,0.8444762089418336,0.19487137627489093,0.6417403158778382,1,350.0,625.0,275.0
